"Country","Year","Population","GDP","GHG"
"Brazil",1990,149648341,1496010,565.0934196
"Brazil",1991,152153539,1518631,583.2765755
"Brazil",1992,154597985,1511540,592.9674395
"Brazil",1993,157011131,1582056,602.9108974
"Brazil",1994,159432909,1666448,620.0349113
"Brazil",1995,161890816,1740052,644.8676653
"Brazil",1996,164392423,1777464,653.8716896
"Brazil",1997,166925457,1837452,682.3446299
"Brazil",1998,169472347,1838104,702.8887802
"Brazil",1999,172006362,1842802,716.5903065
"Brazil",2000,174504898,1922149,733.4805729
"Brazil",2001,176968205,1947423,754.6724254
"Brazil",2002,179393768,1999146,776.4538319
"Brazil",2003,181752951,2022071,788.5655785
"Brazil",2004,184010283,2137611,826.298823
"Brazil",2005,186142403,2205081,840.1933036
"Brazil",2006,188134315,2292302,840.587982
"Brazil",2007,189996976,2432028,868.6000164
"Brazil",2008,191765567,2557746,883.7681968
"Brazil",2009,193490922,2549351,870.7361592
"Brazil",2010,195210154,2741409,950.3120696
"Brazil",2011,196935134,2816318,973.7765762
"Brazil",2012,198656019,2845377,1012.554179
"Canada",1990,27791000,864786,568.794181
"Canada",1991,28171682,846451,565.176625
"Canada",1992,28519597,853683,579.7650791
"Canada",1993,28833410,875941,582.2501331
"Canada",1994,29111906,915832,602.4461571
"Canada",1995,29354000,940912,618.7421172
"Canada",1996,29671900,956715,637.6975066
"Canada",1997,29987200,997408,654.7434641
"Canada",1998,30247900,1038682,663.1909796
"Canada",1999,30499200,1090588,672.325501
"Canada",2000,30769700,1146460,692.3728345
"Canada",2001,31081900,1165817,684.7041213
"Canada",2002,31362000,1198481,693.9682542
"Canada",2003,31676000,1221556,717.312695
"Canada",2004,31995000,1259898,714.0999319
"Canada",2005,32312000,1299750,722.5742107
"Canada",2006,32570505,1333827,711.8872804
"Canada",2007,32887928,1360614,745.1121161
"Canada",2008,33245773,1376607,728.5307698
"Canada",2009,33628571,1339281,691.5855514
"Canada",2010,34005274,1384472,704.8685411
"Canada",2011,34342780,1419474,713.8694767
"Canada",2012,34752128,1443732,714.1185149
"China",1990,1135185000,1689372,3320.971184
"China",1991,1150780000,1844439,3466.040175
"China",1992,1164970000,2107100,3616.399399
"China",1993,1178440000,2401342,3838.006566
"China",1994,1191835000,2715454,4006.77518
"China",1995,1204855000,3012117,4337.035217
"China",1996,1217550000,3313585,4437.061714
"China",1997,1230075000,3621650,4406.39629
"China",1998,1241935000,3905347,4495.983939
"China",1999,1252735000,4202928,4431.093131
"China",2000,1262645000,4557288,4701.646231
"China",2001,1271850000,4935558,4872.45692
"China",2002,1280400000,5383808,5203.988359
"China",2003,1288400000,5923555,5886.843364
"China",2004,1296075000,6520948,6658.513564
"China",2005,1303720000,7258470,7345.033253
"China",2006,1311020000,8178592,7984.325073
"China",2007,1317885000,9336877,8477.360578
"China",2008,1324655000,10236454,8745.904704
"China",2009,1331260000,11179661,9230.657002
"China",2010,1337705000,12347599,9764.680849
"China",2011,1344130000,13495912,10595.79719
"China",2012,1350695000,14528694,10975.49869
"EU",1990,477844921,11591101,5235.351744769
"EU",1991,478877095,11859697,5184.578375471
"EU",1992,480311027,12007483,5041.930325274
"EU",1993,481924301,11987697,4955.919277506
"EU",1994,483040618,12327294,4933.817624689
"EU",1995,483998374,12782206,4960.655580068
"EU",1996,484680948,13050125,5066.675500231
"EU",1997,485523290,13396645,4968.990558174
"EU",1998,486168296,13793012,4955.363026127
"EU",1999,487179992,14194185,4877.800169601
"EU",2000,487975692,14745925,4881.246443463
"EU",2001,489161520,15079003,4937.415900522
"EU",2002,490504132,15289876,4897.228729896
"EU",2003,492340768,15532891,4997.000011153
"EU",2004,494330068,15952777,4989.258774132
"EU",2005,496303356,16301620,4953.342917529
"EU",2006,498178694,16892380,4962.319585524
"EU",2007,500026904,17445916,4910.3439075
"EU",2008,501908711,17571286,4800.789301626
"EU",2009,503386386,16802634,4468.606289471
"EU",2010,504605527,17146575,4572.401343716
"EU",2011,506016478,17449046,4438.560223777
"EU",2012,505608515,17376183,4399.147439969
"India",1990,868890700,1543684,1239.064514
"India",1991,886348712,1559998,1294.012142
"India",1992,903749636,1645523,1333.252867
"India",1993,921107534,1723699,1365.809228
"India",1994,938452550,1838478,1416.421393
"India",1995,955804355,1977734,1486.612293
"India",1996,973147577,2127043,1546.609351
"India",1997,990460131,2213185,1605.290328
"India",1998,1007746556,2350057,1635.874475
"India",1999,1025014711,2557937,1715.394261
"India",2000,1042261758,2656188,1767.283388
"India",2001,1059500888,2784321,1800.646065
"India",2002,1076705723,2890236,1832.434152
"India",2003,1093786762,3117420,1884.55349
"India",2004,1110626108,3364411,1988.604925
"India",2005,1127143548,3676791,2081.929122
"India",2006,1143289350,4017407,2200.857788
"India",2007,1159095250,4411168,2348.404824
"India",2008,1174662334,4582805,2454.95132
"India",2009,1190138069,4971417,2666.026815
"India",2010,1205624648,5481482,2772.476921
"India",2011,1221156319,5845362,2883.154364
"India",2012,1236686732,6142389,3013.769931
"Indonesia",1990,178633239,767276,392.2234239
"Indonesia",1991,181786329,835776,410.0828152
"Indonesia",1992,184916848,896124,428.4394885
